bb,sport_id,np,hgnd,roe,hr,team_count,sb,player_id,avg,sf,sac,wo,hpop,so,gidp_opp,gidp,ppa,ab,hldr,d,tpa,g,h,ibb,go,sport_code,tb,ao,slg,cs,r,ops,t,hbp,rbi,babip,go_ao,hfly,obp,sport,lob,xbh
10,1,573,11,1,0,1,0,608331,.214,0,13,1,0,40,20,0,3.85,126,14,7,149,93,27,0,55,mlb,34,17,.270,0,20,.542,0,0,9,.314,3.24,2,.272,MLB,60,7
73,1,4304,119,15,17,7,11,594838,.260,4,3,2,2,238,133,12,3.82,1040,120,49,1128,466,270,3,288,mlb,374,256,.360,6,132,.672,2,8,101,.321,1.13,29,.312,MLB,394,68
3,1,321,11,0,3,1,2,671739,.333,0,0,0,0,21,7,0,3.53,87,14,6,91,24,29,0,21,mlb,48,16,.552,0,15,.914,2,1,13,.413,1.31,4,.363,MLB,27,11
129,1,5913,108,15,27,5,7,628338,.231,5,11,2,4,306,201,24,3.84,1363,163,74,1540,551,315,5,391,mlb,474,381,.348,12,175,.659,2,32,112,.278,1.03,40,.311,MLB,577,103
1,1,34,2,0,0,1,0,445276,.333,0,0,0,0,3,3,1,3.40,9,1,1,10,640,3,0,4,mlb,4,0,.444,0,1,.844,0,0,1,.500,4.00,0,.400,MLB,8,1
0,1,0,0,0,0,1,0,669276,,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,mlb,0,0,,0,0,.000,0,0,0,,,0,,MLB,0,0
2,1,211,7,0,0,2,0,554431,.217,0,4,0,0,14,10,1,4.06,46,2,2,52,91,10,0,22,mlb,12,5,.261,0,5,.511,0,0,0,.313,4.40,1,.250,MLB,15,2
0,1,105,1,1,0,4,0,543521,.071,0,3,0,0,12,6,0,3.39,28,1,0,31,33,2,0,10,mlb,2,7,.071,0,1,.143,0,0,0,.125,1.43,0,.071,MLB,14,0
0,1,5,0,0,0,1,0,621345,.000,0,0,0,0,1,0,0,5.00,1,0,0,1,168,0,0,0,mlb,0,0,.000,0,0,.000,0,0,0,,,0,.000,MLB,1,0
3,1,1250,10,2,0,5,0,450203,.084,2,44,0,0,170,55,4,3.38,321,12,5,370,189,27,0,114,mlb,32,60,.100,1,9,.192,0,0,7,.176,1.90,5,.092,MLB,181,5
1,1,46,1,0,0,1,0,666205,.091,0,1,0,0,7,1,0,3.54,11,0,0,13,9,1,0,4,mlb,1,0,.091,0,0,.258,0,0,0,.250,4.00,0,.167,MLB,6,0
0,1,4,0,0,0,5,0,503285,.000,0,0,0,0,1,0,0,4.00,1,0,0,1,44,0,0,0,mlb,0,0,.000,0,0,.000,0,0,0,,,0,.000,MLB,2,0
313,1,11220,133,17,152,2,7,621566,.252,15,0,5,3,622,366,57,4.19,2315,284,129,2679,645,584,28,537,mlb,1171,607,.506,2,352,.854,1,36,411,.278,0.88,164,.348,MLB,1082,282
365,1,17583,420,34,186,3,28,542303,.271,21,1,5,5,983,679,106,3.81,4212,532,191,4616,1105,1140,15,1131,mlb,1929,1049,.458,14,560,.788,20,16,648,.311,1.08,183,.330,MLB,1870,397
94,1,4914,65,5,42,3,4,444489,.243,10,2,0,1,258,170,29,3.95,1114,144,55,1243,414,271,4,287,mlb,456,334,.409,1,132,.722,2,23,148,.278,0.86,61,.313,MLB,500,99
105,1,5579,100,10,77,1,2,663586,.268,12,0,0,4,409,194,23,3.81,1323,166,65,1465,360,355,7,247,mlb,659,324,.498,3,195,.829,4,25,224,.327,0.76,85,.331,MLB,609,146
0,1,4,0,0,0,1,0,670298,.000,0,0,0,0,0,0,0,4.00,1,0,0,1,2,0,0,1,mlb,0,0,.000,0,0,.000,0,0,1,.000,1.00,0,.000,MLB,0,0
164,1,11859,251,17,133,3,50,592696,.272,28,12,2,5,610,494,40,3.60,3084,395,154,3291,823,839,15,784,mlb,1442,914,.468,23,446,.774,25,3,450,.298,0.86,188,.307,MLB,1296,312
0,1,6,0,0,0,3,0,519293,1.000,0,1,0,0,0,1,0,3.00,1,1,0,2,370,1,0,1,mlb,1,0,1.000,0,0,2.000,0,0,2,1.000,1.00,0,1.000,MLB,0,0
1,1,36,1,0,0,1,0,623451,.250,0,0,0,0,3,0,0,4.00,8,0,0,9,35,2,0,2,mlb,2,1,.250,0,1,.583,0,0,2,.400,2.00,1,.333,MLB,2,0
0,1,4,0,0,0,1,0,675911,.000,0,1,0,0,1,1,0,2.00,1,0,0,2,2,0,0,1,mlb,0,0,.000,0,0,.000,0,0,0,,1.00,0,.000,MLB,0,0
266,1,11954,217,29,87,1,51,621020,.253,23,9,5,1,715,381,32,4.02,2661,331,143,2977,735,674,36,623,mlb,1104,695,.415,17,378,.738,13,18,353,.312,0.90,125,.323,MLB,1121,243
2,1,143,1,0,0,1,0,657053,.029,0,2,0,0,21,3,0,3.76,34,0,0,38,41,1,0,10,mlb,1,4,.029,0,2,.113,0,0,0,.077,2.50,0,.083,MLB,17,0
0,1,30,1,0,0,1,0,657140,.111,0,0,0,0,5,1,0,3.33,9,0,1,9,13,1,0,3,mlb,2,0,.222,0,1,.333,0,0,0,.250,3.00,0,.111,MLB,6,1
0,1,112,3,0,2,1,0,660623,.219,0,0,0,0,15,2,0,3.50,32,2,1,32,20,7,0,6,mlb,14,4,.438,0,3,.656,0,0,6,.333,1.50,2,.219,MLB,15,3
0,1,9,0,0,0,1,0,669211,.000,0,0,0,0,2,0,0,4.50,2,0,0,2,2,0,0,0,mlb,0,0,.000,0,0,.000,0,0,0,,,0,.000,MLB,1,0
