sport_id,bqs,league_short,hr,team_id,whip,pip,season,rs9,ab,qs,hldr,league,ip,ir,sport_code,er,ao,k9,slg,team_full,ops,team_abbrev,tbf,go_ao,sho,hfly,spct,wpct,end_date,bb,np,hgnd,bk,sb,bq,h9,player_id,avg,sf,sac,era,team_short,wp,hpop,so,gidp_opp,pgs,gidp,gf,ppa,hld,sv,cg,league_full,g,h,ibb,go,kbb,irs,l,gs,team_seq,svo,hr9,cs,r,s,w,babip,bb9,hb,pk,obp,sport,league_id,db,tr
1,2,National,1,144,1.41,18.9,2022,1.69,36,0,3,NL,10.2,6,mlb,6,13,8.44,.278,Atlanta Braves,.639,ATL,47,0.54,0,1,62.4,.000,2022-06-23T00:00:00,9,202,2,0,0,7,5.06,554431,.167,0,0,5.06,Atlanta,2,0,10,6,*.*,1,0,4.30,6,0,0,National League,13,6,0,7,1.11,2,1,0,1.0,0,0.84,0,8,126,0,.200,7.59,2,0,.362,MLB,104,1,0
1,3,National,3,144,1.18,17.4,2022,3.08,99,0,15,NL,26.1,20,mlb,11,30,10.59,.384,Atlanta Braves,.674,ATL,107,0.50,0,4,65.1,.000,2022-06-23T00:00:00,6,458,6,0,1,8,8.54,543521,.253,2,0,3.76,Atlanta,1,0,31,21,*.*,2,1,4.28,5,0,0,National League,23,25,0,15,5.17,6,1,0,1.0,3,1.03,0,11,298,0,.328,2.05,0,0,.290,MLB,104,4,0
1,0,National,0,144,0.80,15.3,2022,5.70,101,0,8,NL,30.0,12,mlb,5,30,11.70,.248,Atlanta Braves,.482,ATL,112,0.57,0,5,66.2,.750,2022-06-23T00:00:00,5,459,6,0,3,3,5.70,621345,.188,3,1,1.50,Atlanta,1,0,39,12,*.*,2,2,4.10,15,0,0,National League,32,19,0,17,7.80,5,1,0,1.0,1,0.00,2,7,304,3,.292,1.50,2,1,.234,MLB,104,6,0
1,3,National,11,144,1.28,17.1,2022,5.69,283,3,36,NL,74.1,0,mlb,40,70,10.41,.417,Atlanta Braves,.743,ATL,322,0.87,0,17,63.4,.571,2022-06-23T00:00:00,26,1271,16,0,4,11,8.35,450203,.244,3,0,4.84,Atlanta,1,0,86,52,90.8,5,0,3.95,0,0,0,National League,14,69,0,61,3.31,0,3,14,1.0,0,1.33,1,41,806,4,.307,3.15,10,0,.326,MLB,104,14,1
1,3,National,0,144,3.75,27.7,2022,6.75,12,0,4,NL,2.2,0,mlb,7,1,10.13,.333,Atlanta Braves,.889,ATL,19,5.00,0,0,52.7,.000,2022-06-23T00:00:00,6,74,0,0,2,3,13.50,666205,.333,0,1,23.63,Atlanta,1,0,3,5,74.0,0,0,3.89,0,0,0,National League,1,4,0,5,0.50,0,1,1,1.0,0,0.00,0,7,39,0,.444,20.25,0,0,.556,MLB,104,0,0
1,2,National,2,144,1.40,17.7,2022,6.00,55,0,5,NL,15.0,7,mlb,8,15,10.80,.473,Atlanta Braves,.796,ATL,65,0.73,0,6,65.8,.500,2022-06-23T00:00:00,7,266,3,0,2,7,8.40,503285,.255,3,0,4.80,Atlanta,0,0,18,6,*.*,1,2,4.09,4,0,0,National League,20,14,1,11,2.57,2,1,0,1.0,1,1.20,0,9,175,1,.316,4.20,0,0,.323,MLB,104,4,1
1,3,National,5,144,1.16,16.3,2022,0.34,100,0,9,NL,26.2,10,mlb,10,26,9.11,.360,Atlanta Braves,.641,ATL,114,1.12,0,5,64.7,.000,2022-06-23T00:00:00,12,434,5,1,1,3,6.41,519293,.190,1,0,3.38,Atlanta,1,0,27,14,*.*,0,7,3.81,7,2,0,National League,29,19,2,29,2.25,4,1,0,1.0,5,1.69,0,16,281,0,.203,4.05,1,0,.281,MLB,104,2,0
1,1,National,2,144,1.19,17.1,2022,5.18,96,0,15,NL,24.1,1,mlb,9,21,8.51,.354,Atlanta Braves,.643,ATL,104,1.43,0,1,65.5,.333,2022-06-23T00:00:00,7,415,6,0,2,2,8.14,623451,.229,0,0,3.33,Atlanta,1,0,23,15,*.*,0,10,3.99,1,2,0,National League,16,22,2,30,3.29,0,2,0,1.0,3,0.74,0,15,272,1,.282,2.59,1,0,.288,MLB,104,6,0
1,7,National,3,144,1.11,17.5,2022,4.34,170,0,19,NL,47.2,3,mlb,18,37,13.59,.271,Atlanta Braves,.548,ATL,195,0.86,0,6,65.4,.600,2022-06-23T00:00:00,22,832,6,0,1,12,5.85,675911,.182,2,0,3.40,Atlanta,3,0,72,18,166.4,2,3,4.27,2,0,0,National League,16,31,0,32,3.27,0,2,5,1.0,1,0.57,1,20,544,3,.289,4.15,1,1,.277,MLB,104,6,0
1,0,National,0,144,1.50,15.5,2022,13.50,7,0,2,NL,2.0,0,mlb,0,2,9.00,.286,Atlanta Braves,.661,ATL,8,0.50,0,0,58.1,.---,2022-06-23T00:00:00,1,31,0,0,0,0,9.00,682016,.286,0,0,0.00,Atlanta,0,0,2,3,*.*,1,1,3.88,0,0,0,National League,2,2,0,1,2.00,0,0,0,1.0,0,0.00,0,0,18,0,.400,4.50,0,0,.375,MLB,104,0,0
1,3,National,4,144,1.10,14.9,2022,3.39,289,9,31,NL,79.2,0,mlb,26,53,9.94,.294,Atlanta Braves,.582,ATL,321,1.64,0,9,65.6,.636,2022-06-23T00:00:00,26,1191,22,0,2,7,7.00,657140,.215,1,0,2.94,Atlanta,4,0,88,43,91.6,9,0,3.71,0,0,0,National League,13,62,0,87,3.38,0,4,13,1.0,0,0.45,2,28,781,7,.293,2.94,4,1,.288,MLB,104,9,1
1,2,National,2,144,2.55,22.0,2022,1.35,31,0,4,NL,6.2,0,mlb,10,2,10.80,.613,Atlanta Braves,1.072,ATL,37,5.00,0,5,55.1,.000,2022-06-23T00:00:00,6,147,2,0,1,2,14.85,660623,.355,0,0,13.50,Atlanta,1,0,8,8,73.5,0,0,3.97,0,0,0,National League,2,11,0,10,1.33,0,2,2,1.0,0,2.70,0,10,81,0,.429,8.10,0,0,.459,MLB,104,2,0
1,2,American,6,110,0.82,14.3,2022,2.74,151,0,10,AL,42.2,9,mlb,12,42,7.59,.331,Baltimore Orioles,.549,BAL,161,1.14,0,7,70.4,.500,2022-06-23T00:00:00,10,611,8,0,0,6,5.27,669211,.166,0,0,2.53,Baltimore,1,0,36,17,*.*,4,4,3.80,1,0,0,American League,18,25,0,48,3.60,1,1,0,1.0,0,1.27,1,12,430,1,.174,2.11,0,0,.217,MLB,103,7,0
1,6,American,1,110,1.54,18.4,2022,7.90,109,0,15,AL,27.1,16,mlb,17,31,8.56,.376,Baltimore Orioles,.737,BAL,122,0.68,0,4,60.6,.400,2022-06-23T00:00:00,11,502,12,0,0,16,10.21,641329,.284,0,0,5.60,Baltimore,1,0,26,25,251.0,3,4,4.11,1,0,0,American League,26,31,0,21,2.36,4,3,2,1.0,1,0.33,0,19,304,2,.366,3.62,2,1,.361,MLB,103,5,1
