sport_id,league_short,hr,team_id,season,ab,hldr,league,sport_code,ao,slg,team_full,ops,team_abbrev,hbp,rbi,go_ao,hfly,lob,xbh,end_date,bb,np,hgnd,roe,sb,player_id,avg,sf,sac,wo,team_short,hpop,so,gidp_opp,gidp,ppa,d,tpa,league_full,g,h,ibb,go,team_seq,tb,cs,r,t,babip,obp,sport,league_id
1,American,2,110,2022,106,10,AL,mlb,33,.274,Baltimore Orioles,.575,BAL,4,13,0.82,5,46,4,2022-06-23T00:00:00,13,531,6,3,0,663527,.198,3,0,0,Baltimore,0,28,12,4,4.21,2,126,American League,34,21,0,27,1.0,29,0,16,0,.241,.302,MLB,103
1,American,7,110,2022,196,17,AL,mlb,70,.388,Baltimore Orioles,.645,BAL,4,29,0.53,10,84,20,2022-06-23T00:00:00,12,815,11,2,0,596059,.199,2,0,2,Baltimore,1,52,30,7,3.81,10,214,American League,62,39,0,37,1.0,76,0,25,3,.230,.257,MLB,103
1,American,0,110,2022,0,0,AL,mlb,0,.---,Baltimore Orioles,.000,BAL,0,0,-.--,0,0,0,2022-06-23T00:00:00,0,0,0,0,0,672335,.---,0,0,0,Baltimore,0,0,0,0,-.--,0,0,American League,1,0,0,0,1.0,0,0,0,0,.---,.---,MLB,103
1,American,1,110,2022,95,12,AL,mlb,32,.347,Baltimore Orioles,.626,BAL,2,4,0.69,1,43,10,2022-06-23T00:00:00,7,443,7,0,0,668939,.211,0,0,0,Baltimore,0,21,11,1,4.26,8,104,American League,26,20,0,22,1.0,33,0,11,1,.260,.279,MLB,103
1,American,13,110,2022,232,25,AL,mlb,74,.440,Baltimore Orioles,.782,BAL,6,36,0.65,16,111,19,2022-06-23T00:00:00,29,1125,15,1,0,623993,.246,2,0,1,Baltimore,1,55,45,4,4.18,6,269,American League,64,57,1,48,1.0,102,2,31,0,.265,.342,MLB,103
1,American,6,110,2022,173,18,AL,mlb,42,.387,Baltimore Orioles,.660,BAL,1,18,1.12,7,86,16,2022-06-23T00:00:00,11,711,14,2,0,602104,.225,2,1,1,Baltimore,0,48,24,2,3.78,10,188,American League,49,39,0,47,1.0,67,0,22,0,.273,.273,MLB,103
1,American,3,111,2022,91,7,AL,mlb,30,.319,Boston Red Sox,.545,BOS,2,10,0.97,4,42,6,2022-06-23T00:00:00,3,354,6,1,3,624414,.187,1,1,0,Boston,0,17,13,1,3.61,3,98,American League,34,17,0,29,1.0,29,0,10,0,.194,.227,MLB,103
1,American,6,111,2022,254,35,AL,mlb,60,.484,Boston Red Sox,.883,BOS,4,31,0.90,12,111,26,2022-06-23T00:00:00,25,1144,38,1,3,593428,.335,3,0,0,Boston,0,58,55,5,4.00,20,286,American League,68,85,1,54,1.0,123,0,42,0,.409,.399,MLB,103
1,American,1,111,2022,196,22,AL,mlb,47,.321,Boston Red Sox,.594,BOS,0,22,1.38,6,82,16,2022-06-23T00:00:00,13,785,16,2,2,598265,.224,0,2,0,Boston,0,42,25,1,3.72,14,211,American League,62,44,0,65,1.0,63,2,11,1,.281,.273,MLB,103
1,American,3,111,2022,132,12,AL,mlb,36,.379,Boston Red Sox,.681,BOS,1,20,0.78,11,54,13,2022-06-23T00:00:00,14,599,7,0,1,614173,.227,2,0,1,Boston,0,40,14,0,4.02,9,149,American League,44,30,0,28,1.0,50,0,21,1,.297,.302,MLB,103
