sport_id,bqs,hr,whip,pip,rs9,ab,qs,hldr,ip,ir,sport_code,er,ao,k9,slg,ops,tbf,go_ao,sho,hfly,spct,wpct,bb,np,hgnd,bk,team_count,sb,bq,h9,player_id,avg,sf,sac,era,wp,hpop,so,gidp_opp,pgs,gidp,gf,ppa,hld,sv,cg,g,h,ibb,go,kbb,irs,l,gs,svo,hr9,cs,r,s,w,babip,bb9,hb,pk,obp,sport,db,tr
1,31,63,1.03,15.9,4.00,2186,0,198,602.1,302,mlb,173,628,9.40,1.113,1.390,2432,0.82,0,106,66.1,.672,169,9549,144,3,6,43,145,6.77,503285,.207,17,10,2.58,3,5,629,271,*.*,41,154,3.93,164,21,0,636,453,23,517,3.72,75,20,0,46,0.94,20,186,6310,41,.258,2.53,49,0,.277,MLB,81,6
1,31,68,1.22,16.0,3.49,1938,8,204,521.1,171,mlb,205,482,10.81,1.120,1.419,2170,0.86,0,87,64.0,.492,193,8362,149,1,4,25,94,7.63,519293,.228,19,7,3.54,28,2,626,238,491.9,45,172,3.85,98,88,0,477,442,19,414,3.24,47,32,17,123,1.17,9,232,5355,31,.296,3.33,13,4,.300,MLB,83,14
1,2,15,1.39,17.2,6.16,350,1,52,87.2,22,mlb,43,88,7.90,1.109,1.438,388,1.09,0,20,63.7,.455,31,1507,19,0,2,6,7,9.34,623451,.260,0,2,4.41,5,0,77,41,376.8,3,23,3.88,1,2,0,52,91,5,96,2.48,9,6,4,3,1.54,2,58,960,5,.295,3.18,5,0,.329,MLB,16,3
1,7,4,1.12,17.4,4.86,178,0,20,50.0,4,mlb,19,41,12.96,1.146,1.425,204,0.83,0,7,65.4,.667,23,870,6,0,1,1,12,5.94,675911,.185,2,0,3.42,3,0,72,,174.0,3,3,4.26,2,0,0,18,33,0,34,3.13,0,2,5,1,0.72,1,21,569,4,.279,4.14,1,1,.279,MLB,6,0
1,13,24,1.50,17.7,5.52,544,5,62,145.0,14,mlb,88,123,9.62,1.208,1.572,657,1.15,0,30,59.3,.600,85,2564,40,0,1,9,38,8.19,657053,.243,2,6,5.46,11,0,155,68,122.1,14,5,3.90,2,0,0,49,132,4,142,1.82,6,6,21,1,1.49,2,97,1521,9,.294,5.28,20,1,.364,MLB,26,1
1,0,0,1.50,15.5,13.50,7,0,2,2.0,0,mlb,0,2,9.00,1.143,1.518,8,0.50,0,0,58.1,.---,1,31,0,0,1,0,0,9.00,682016,.286,0,0,0.00,0,0,2,,*.*,1,1,3.88,0,0,0,2,2,0,1,2.00,0,0,0,0,0.00,0,0,18,0,.400,4.50,0,0,.375,MLB,0,0
1,10,19,1.38,16.3,3.49,558,13,62,149.2,0,mlb,77,122,8.84,1.156,1.490,645,1.31,0,26,61.7,.429,74,2444,44,0,1,14,25,7.94,657140,.237,2,1,4.63,8,0,147,40,90.5,18,3,3.79,0,0,0,34,132,2,160,1.99,0,12,27,0,1.14,2,80,1509,9,.287,4.45,9,1,.334,MLB,23,2
1,5,19,1.32,17.1,4.56,469,6,60,122.1,2,mlb,71,94,9.42,1.119,1.438,525,1.45,0,18,63.7,.333,45,2090,38,1,1,11,19,8.53,660623,.247,4,1,5.22,7,0,128,17,87.1,8,2,3.98,0,0,0,31,116,2,136,2.84,0,8,24,0,1.40,1,72,1331,4,.298,3.31,6,0,.319,MLB,30,2
1,17,26,1.36,17.6,3.53,633,2,73,163.1,14,mlb,95,190,8.43,1.112,1.432,704,0.72,0,31,66.3,.235,60,2879,57,2,1,0,30,8.93,669211,.256,7,1,5.23,6,1,153,14,125.2,11,5,4.09,1,0,0,50,162,1,136,2.55,3,13,23,0,1.43,3,99,1910,4,.295,3.31,3,2,.320,MLB,36,2
1,0,0,2.00,12.0,0.00,4,0,1,1.0,0,mlb,1,3,0.00,1.250,1.650,5,0.00,0,1,66.7,.---,0,12,0,0,1,0,0,18.00,660620,.500,1,0,9.00,0,0,0,,*.*,0,1,2.40,0,0,0,1,2,0,0,-.--,0,0,0,0,0.00,0,1,8,0,.400,0.00,0,0,.400,MLB,1,0
1,6,1,1.52,18.4,7.62,113,0,16,28.1,16,mlb,17,33,8.58,1.115,1.472,126,0.64,0,4,60.5,.400,11,521,12,0,2,0,16,10.16,641329,.283,0,0,5.40,3,0,27,,260.5,3,4,4.13,1,0,0,27,32,0,21,2.45,4,3,2,1,0.32,0,19,315,2,.365,3.49,2,1,.357,MLB,5,1
1,5,3,1.73,18.2,2.45,88,0,11,22.0,4,mlb,17,29,5.73,1.170,1.559,103,0.69,0,6,58.9,.400,12,401,9,0,1,0,13,10.64,657508,.295,1,0,6.95,1,0,14,,*.*,2,1,3.89,2,0,0,11,26,0,20,1.17,1,3,0,0,1.23,1,19,236,2,.319,4.91,2,0,.388,MLB,7,0
1,2,3,1.06,16.2,2.86,100,0,11,28.1,17,mlb,5,27,9.53,1.110,1.380,111,0.89,0,4,62.7,.600,10,459,4,0,1,2,5,6.35,642585,.200,1,0,1.59,0,1,30,,*.*,2,6,4.14,7,2,0,30,20,0,24,3.00,4,2,0,2,0.95,1,6,288,3,.250,3.18,0,0,.270,MLB,3,0
1,3,11,1.77,18.0,5.24,189,2,30,46.1,0,mlb,38,39,8.94,1.122,1.523,212,1.08,0,15,61.2,.200,18,832,19,0,1,0,11,12.43,680694,.339,2,0,7.38,2,0,46,,83.2,7,0,3.92,0,0,0,10,64,0,42,2.56,0,4,10,0,2.14,0,39,509,1,.396,3.50,3,0,.401,MLB,10,0
1,1,6,1.29,17.8,5.05,129,0,12,35.2,25,mlb,16,40,8.07,1.163,1.469,150,0.80,0,5,60.9,1.000,20,634,9,0,1,0,7,6.56,650959,.202,1,0,4.04,3,0,32,,*.*,3,6,4.23,1,0,0,28,26,0,32,1.60,12,0,0,0,1.51,0,18,386,2,.217,5.05,0,0,.307,MLB,5,0
1,0,0,1.65,16.6,3.48,44,0,12,10.1,6,mlb,5,15,3.48,1.091,1.466,48,0.73,0,0,63.4,.---,2,172,3,0,1,0,4,13.06,670810,.341,1,0,4.35,0,0,4,,*.*,0,3,3.58,0,0,0,11,15,0,11,2.00,2,0,0,1,0.00,0,6,109,0,.366,1.74,1,0,.375,MLB,3,1
1,3,4,1.11,16.2,2.57,125,0,11,35.0,16,mlb,11,30,6.17,1.128,1.405,141,1.60,0,7,60.5,.400,15,567,6,0,3,1,10,6.17,607216,.192,1,0,2.83,1,0,24,3,*.*,4,5,4.02,7,0,0,31,24,0,48,1.60,4,3,0,0,1.03,1,14,343,2,.204,3.86,0,0,.277,MLB,8,0
1,9,18,1.52,17.8,4.62,344,4,51,87.2,0,mlb,59,112,8.11,1.134,1.477,390,0.58,0,20,61.2,.182,41,1561,21,0,1,0,14,9.44,665152,.267,4,0,6.06,6,0,79,11,78.1,6,0,4.00,0,0,0,20,92,0,65,1.93,0,9,20,0,1.85,2,61,955,2,.295,4.21,1,0,.344,MLB,19,3
1,11,10,1.50,18.0,3.30,336,0,53,87.1,32,mlb,47,87,7.73,1.164,1.512,391,1.07,0,16,60.5,.333,46,1574,16,1,2,6,32,8.76,664042,.253,4,0,4.84,9,0,75,33,393.5,6,15,4.03,5,1,0,68,85,1,93,1.63,18,8,4,3,1.03,2,53,952,4,.294,4.74,5,0,.348,MLB,21,1
1,24,61,1.48,16.9,5.08,1504,13,187,384.1,37,mlb,238,338,7.75,1.131,1.482,1701,1.29,0,71,62.3,.306,151,6493,159,3,3,13,66,9.81,605347,.279,17,2,5.57,25,2,331,165,111.9,39,42,3.82,2,12,0,131,419,4,435,2.19,11,34,58,16,1.43,7,253,4045,15,.317,3.54,27,1,.351,MLB,73,7
1,64,182,1.44,16.8,4.79,4847,73,633,1226.0,54,mlb,707,1224,6.93,1.113,1.453,5396,1.15,1,248,62.5,.406,421,20602,458,3,7,74,151,9.86,543475,.277,37,31,5.19,49,4,944,631,105.1,105,33,3.82,8,2,1,303,1343,16,1404,2.24,18,85,196,5,1.34,18,774,12883,58,.309,3.09,58,4,.340,MLB,272,31
1,8,12,1.57,18.4,4.04,268,0,21,71.1,35,mlb,37,58,9.08,1.183,1.539,317,1.28,0,16,58.6,.667,46,1310,29,0,3,1,27,8.33,672335,.246,2,0,4.67,2,0,72,11,*.*,9,18,4.13,10,1,0,71,66,3,74,1.57,9,3,0,1,1.51,4,41,768,6,.290,5.80,1,1,.356,MLB,6,1
1,0,0,1.17,15.3,10.57,30,0,4,7.2,0,mlb,2,11,3.52,1.033,1.324,31,0.73,0,1,69.2,.---,1,117,3,0,1,0,2,9.39,660593,.267,0,0,2.35,0,0,3,,117.0,0,1,3.77,0,0,0,3,8,0,8,3.00,0,0,1,0,0.00,0,2,81,0,.296,1.17,0,0,.290,MLB,2,0
1,1,1,1.66,16.3,3.55,53,0,7,12.2,4,mlb,6,13,7.11,1.151,1.512,61,1.23,0,3,66.5,.---,6,206,5,0,2,1,5,10.66,676641,.283,1,0,4.26,0,0,10,,*.*,1,2,3.38,0,0,0,5,15,2,16,1.67,2,0,0,0,0.71,0,11,137,0,.326,4.26,1,0,.361,MLB,8,1
1,11,12,1.15,15.6,3.20,503,0,45,137.2,76,mlb,61,103,7.13,1.147,1.455,577,1.83,0,20,64.0,.077,43,2143,51,1,1,6,41,7.58,622253,.231,11,2,3.99,12,0,109,22,*.*,12,27,3.71,20,4,0,119,116,2,188,2.53,31,12,0,6,0.78,3,67,1371,1,.265,2.81,18,1,.308,MLB,25,1
1,1,0,0.77,13.3,6.97,33,0,4,10.1,2,mlb,1,9,6.97,1.091,1.313,36,1.22,0,1,69.3,1.000,3,137,0,0,1,0,1,4.35,663989,.152,0,0,0.87,0,0,8,,*.*,2,2,3.81,0,1,0,8,5,1,11,2.67,0,0,0,1,0.00,0,1,95,2,.200,2.61,0,0,.222,MLB,1,1
1,14,37,1.46,17.7,4.46,732,4,103,187.2,29,mlb,117,207,8.78,1.124,1.469,823,0.73,0,42,63.3,.529,73,3315,56,0,2,6,28,9.64,608723,.275,5,5,5.61,6,0,183,57,144.1,12,9,4.03,8,0,1,96,201,9,151,2.51,9,8,23,6,1.77,7,120,2098,9,.317,3.50,8,1,.345,MLB,42,3
1,4,19,1.70,17.4,4.36,352,1,60,84.2,4,mlb,69,104,5.21,1.122,1.500,395,0.89,0,27,62.0,.200,34,1472,22,1,1,2,9,11.69,657093,.313,3,1,7.33,5,1,49,,81.8,2,4,3.73,0,0,0,24,110,0,93,1.44,1,8,18,0,2.02,4,73,913,2,.317,3.61,5,1,.378,MLB,30,2
1,1,17,1.01,15.8,5.18,448,4,48,121.2,28,mlb,50,167,7.77,1.083,1.342,485,0.53,0,24,68.0,.500,28,1917,22,1,1,6,9,7.03,669330,.212,4,3,3.70,1,1,105,,136.9,4,18,3.95,1,4,0,58,95,0,88,3.75,9,7,14,7,1.26,3,51,1303,7,.236,2.07,2,1,.259,MLB,15,3
1,6,34,1.47,16.2,4.96,557,5,80,138.0,0,mlb,86,151,7.11,1.086,1.433,605,0.90,0,39,65.2,.375,35,2239,47,1,1,3,21,10.96,669145,.302,5,2,5.61,3,2,109,6,82.9,16,1,3.70,0,0,0,29,168,0,136,3.11,0,10,27,0,2.22,2,90,1459,6,.320,2.28,6,1,.347,MLB,29,2
1,0,1,2.00,16.0,0.00,4,0,0,1.0,0,mlb,0,2,0.00,1.250,1.650,5,0.50,0,1,56.3,.---,1,16,0,0,1,0,0,9.00,624414,.250,0,0,0.00,0,0,0,,*.*,1,1,3.20,0,0,0,1,1,0,1,0.00,0,0,0,0,9.00,0,2,9,0,.000,9.00,0,0,.400,MLB,0,0
